"Country or Area","Year(s)","Value","Value Footnotes"
"Chile","2010","0.5 [0.44-0.57]",""
"Chile","2009","0.52 [0.46-0.59]",""
"Chile","2008","0.52 [0.45-0.59]",""
"Chile","2007","0.51 [0.45-0.58]",""
"Chile","2006","0.51 [0.45-0.58]",""
"Chile","2005","0.51 [0.45-0.58]",""
"Chile","2004","0.53 [0.46-0.6]",""
"Chile","2003","0.43 [0.38-0.49]",""
"Chile","2002","0.45 [0.4-0.51]",""
"Chile","2001","0.52 [0.46-0.59]",""
"Chile","2000","0.47 [0.41-0.53]",""
"China","2012","0.53 [0.47-0.6]",""
"China","2011","0.56 [0.49-0.63]",""
"China","2010","0.56 [0.49-0.63]",""
"China","2009","0.55 [0.49-0.63]",""
"China","2008","0.55 [0.48-0.62]",""
"China","2007","0.52 [0.46-0.59]",""
"China","2006","0.51 [0.44-0.57]",""
"China","2005","0.48 [0.42-0.54]",""
"China","2004","0.45 [0.39-0.51]",""
"China","2003","0.42 [0.37-0.48]",""
"China","2002","0.39 [0.33-0.44]",""
"China","2001","0.36 [0.31-0.41]",""
"China","2000","0.33 [0.28-0.38]",""
"Colombia","2012","3.3 [2.7-4]",""
"Colombia","2011","3.5 [2.9-4.2]",""
"Colombia","2010","3.8 [3.1-4.6]",""
"Colombia","2009","3.9 [3.2-4.7]",""
"Colombia","2008","3.9 [3.2-4.7]",""
"Colombia","2007","3.9 [3.1-4.7]",""
"Colombia","2006","4.1 [3.3-4.9]",""
"Colombia","2005","4.1 [3.3-4.9]",""
"Colombia","2004","4.1 [3.3-4.9]",""
"Colombia","2003","4 [3.2-4.8]",""
"Colombia","2002","3.9 [3.1-4.7]",""
"Colombia","2001","4.2 [3.4-5]",""
"Colombia","2000","4.3 [3.5-5.1]",""
"Comoros","2012","1.4 [1.2-1.7]",""
"Comoros","2011","0.54 [0.45-0.65]",""
"Comoros","2010","0.11 [0.09-0.13]",""
"Comoros","2009","0.01 [0.01-0.02]",""
"Comoros","2008","0 [0-0]",""
"Congo","2012","83 [68-100]",""
"Congo","2011","82 [67-98]",""
"Congo","2010","83 [68-100]",""
"Congo","2009","86 [70-103]",""
"Congo","2008","93 [76-112]",""
"Congo","2007","97 [79-116]",""
"Congo","2006","100 [82-120]",""
"Congo","2005","108 [88-130]",""
"Congo","2004","112 [92-135]",""
"Congo","2003","114 [93-137]",""
"Congo","2002","112 [91-134]",""
"Congo","2001","107 [89-128]",""
"Congo","2000","102 [86-119]",""
"Costa Rica","2012","1.3 [1.2-1.5]",""
"Costa Rica","2011","1.5 [1.3-1.7]",""
"Costa Rica","2010","1.6 [1.4-1.8]",""
"Costa Rica","2009","1.6 [1.4-1.9]",""
"Costa Rica","2008","1.5 [1.4-1.7]",""
"Costa Rica","2007","1.6 [1.4-1.9]",""
"Costa Rica","2006","1.7 [1.5-1.9]",""
"Costa Rica","2005","1.7 [1.5-1.9]",""
"Costa Rica","2004","1.7 [1.5-1.9]",""
"Costa Rica","2003","1.4 [1.3-1.6]",""
"Costa Rica","2002","1.4 [1.2-1.6]",""
"Costa Rica","2001","1.5 [1.3-1.7]",""
"Costa Rica","2000","2.3 [2-2.7]",""
"Côte d’Ivoire","2012","44 [38-51]",""
"Côte d’Ivoire","2011","49 [43-56]",""
"Côte d’Ivoire","2010","50 [43-57]",""
"Côte d’Ivoire","2009","60 [52-68]",""
"Côte d’Ivoire","2008","67 [58-76]",""
"Côte d’Ivoire","2007","75 [65-86]",""
"Côte d’Ivoire","2006","85 [74-97]",""
"Côte d’Ivoire","2005","98 [85-112]",""
"Côte d’Ivoire","2004","110 [95-125]",""
"Côte d’Ivoire","2003","121 [105-138]",""
"Côte d’Ivoire","2002","133 [115-152]",""
"Côte d’Ivoire","2001","145 [125-165]",""
"Côte d’Ivoire","2000","154 [134-177]",""
"Croatia","2012","0.03 [0.02-0.03]",""
"Croatia","2011","0.03 [0.03-0.03]",""
"Croatia","2010","0.03 [0.03-0.04]",""
"Croatia","2009","0.04 [0.04-0.05]",""
"Croatia","2008","0.05 [0.04-0.05]",""
"Croatia","2007","0.04 [0.04-0.05]",""
"Croatia","2006","0.04 [0.04-0.05]",""
"Croatia","2005","0.04 [0.04-0.05]",""
"Croatia","2004","0.04 [0.04-0.05]",""
"Croatia","2003","0.05 [0.04-0.05]",""
"Croatia","2002","0.04 [0.04-0.05]",""
"Croatia","2001","0.04 [0.03-0.04]",""
"Croatia","2000","0.04 [0.04-0.05]",""
"Cuba","2012","0.33 [0.26-0.41]",""
"Cuba","2011","0.33 [0.26-0.4]",""
"Cuba","2010","0.31 [0.25-0.38]",""
"Cuba","2009","0.32 [0.27-0.39]",""
"Cuba","2008","0.29 [0.23-0.36]",""
"Cuba","2007","0.32 [0.26-0.39]",""
"Cuba","2006","0.24 [0.2-0.29]",""
"Cuba","2005","0.2 [0.16-0.24]",""
"Cuba","2004","0.18 [0.15-0.22]",""
"Cuba","2003","0.18 [0.15-0.22]",""
"Cuba","2002","0.21 [0.17-0.25]",""
"Cuba","2001","0.28 [0.23-0.33]",""
"Cuba","2000","0.29 [0.23-0.36]",""
"Czech Republic","2012","0.01 [0.01-0.01]",""
"Czech Republic","2011","0.01 [0.01-0.01]",""
"Czech Republic","2010","0.01 [0.01-0.01]",""
"Czech Republic","2009","0.01 [0.01-0.01]",""
"Czech Republic","2008","0.01 [0.01-0.01]",""
"Czech Republic","2007","0.01 [0.01-0.01]",""
"Czech Republic","2006","0.01 [0.01-0.01]",""
"Czech Republic","2005","0.01 [0.01-0.01]",""
"Czech Republic","2004","0.01 [0.01-0.01]",""
"Czech Republic","2003","0.01 [0.01-0.01]",""
"Czech Republic","2002","0.01 [0.01-0.01]",""
"Czech Republic","2001","0.01 [0.01-0.01]",""
"Czech Republic","2000","0.01 [0.01-0.01]",""
"Democratic People's Republic of Korea","2012","0.53 [0.35-0.76]",""
"Democratic People's Republic of Korea","2011","0.53 [0.34-0.75]",""
"Democratic People's Republic of Korea","2010","0.51 [0.34-0.72]",""
"Democratic People's Republic of Korea","2009","0.51 [0.33-0.73]",""
"Democratic People's Republic of Korea","2008","0.5 [0.32-0.73]",""
"Democratic People's Republic of Korea","2007","0.5 [0.28-0.77]",""
"Democratic People's Republic of Korea","2006","0.5 [0.24-0.84]",""
"Democratic People's Republic of Korea","2005","0.46 [0.23-0.77]",""
"Democratic People's Republic of Korea","2004","0.46 [0.22-0.78]",""
"Democratic People's Republic of Korea","2003","0.46 [0.23-0.77]",""
"Democratic People's Republic of Korea","2002","0.42 [0.21-0.7]",""
"Democratic People's Republic of Korea","2001","0.38 [0.19-0.65]",""
"Democratic People's Republic of Korea","2000","0.38 [0.19-0.65]",""
"Democratic Republic of the Congo","2012","25 [22-29]",""
"Democratic Republic of the Congo","2011","26 [22-30]",""
"Democratic Republic of the Congo","2010","26 [23-30]",""
"Democratic Republic of the Congo","2009","27 [23-31]",""
"Democratic Republic of the Congo","2008","28 [24-32]",""
"Democratic Republic of the Congo","2007","28 [24-32]",""
"Democratic Republic of the Congo","2006","29 [25-33]",""
"Democratic Republic of the Congo","2005","30 [25-34]",""
"Democratic Republic of the Congo","2004","30 [25-35]",""
"Democratic Republic of the Congo","2003","30 [25-35]",""
"Democratic Republic of the Congo","2002","30 [25-35]",""
"Democratic Republic of the Congo","2001","30 [25-35]",""
"Democratic Republic of the Congo","2000","30 [25-35]",""
"Denmark","2012","0.12 [0.11-0.14]",""
"Denmark","2011","0.12 [0.11-0.14]",""
"Denmark","2010","0.1 [0.09-0.12]",""
"Denmark","2009","0.11 [0.1-0.12]",""
"Denmark","2008","0.11 [0.09-0.12]",""
"Denmark","2007","0.11 [0.1-0.13]",""
"Denmark","2006","0.11 [0.09-0.12]",""
"Denmark","2005","0.12 [0.11-0.14]",""
"Denmark","2004","0.11 [0.09-0.12]",""
"Denmark","2003","0.11 [0.1-0.13]",""
"Denmark","2002","0.11 [0.1-0.13]",""
"Denmark","2001","0.14 [0.12-0.16]",""
"Denmark","2000","0.17 [0.15-0.2]",""
"Djibouti","2012","63 [52-75]",""
"Djibouti","2011","68 [56-80]",""
"Djibouti","2010","72 [59-85]",""
"Djibouti","2009","75 [62-90]",""
"Djibouti","2008","79 [65-95]",""
"Djibouti","2007","84 [69-101]",""
"Djibouti","2006","90 [74-108]",""
"Djibouti","2005","96 [78-115]",""
"Djibouti","2004","100 [82-120]",""
"Djibouti","2003","102 [84-123]",""
"Djibouti","2002","103 [84-124]",""
"Djibouti","2001","103 [89-118]",""
"Djibouti","2000","102 [87-118]",""
"Dominica","2009","3.3 [0.25-10]",""
"Dominican Republic","2012","5.2 [4.3-6.3]",""
"Dominican Republic","2011","5.8 [4.8-7]",""
"Dominican Republic","2010","6.4 [5.2-7.6]",""
"Dominican Republic","2009","6.8 [5.6-8.1]",""
"Dominican Republic","2008","7.4 [6-8.9]",""
"Dominican Republic","2007","8.4 [6.9-10]",""
"Dominican Republic","2006","9.4 [7.7-11]",""
"Dominican Republic","2005","11 [8.6-13]",""
"Dominican Republic","2004","11 [9.2-14]",""
"Dominican Republic","2003","12 [9.6-14]",""
"Dominican Republic","2002","12 [10-15]",""
"Dominican Republic","2001","13 [10-15]",""
"Dominican Republic","2000","13 [10-15]",""
"Ecuador","2012","5.4 [4.5-6.5]",""
"Ecuador","2011","6 [5-7.2]",""
"Ecuador","2010","6.5 [5.3-7.7]",""
"Ecuador","2009","7 [5.7-8.4]",""
"Ecuador","2008","7.6 [6.2-9.1]",""
