Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Fiji,FJI,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,412013921.2,366383704.1,358935030.8,423606706.3,483077920,321301682,313300289,528272571.1,322181205,570005077.9,720523356.8,833453464.2,918737740.2,941999998.3,916228000.7,918959350.4,908823039.8,1116363704,947653331.9,1043304264,1081812965,1517816546,1556777406
France,FRA,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,63728079968,58637344264,61696755317,70762382919,77353273269,74359915676,98239163383,1.15487E+11,1.03306E+11,1.31786E+11,1.65852E+11,1.6849E+11,1.84522E+11,1.45161E+11,1.43977E+11,1.38199E+11,1.45866E+11,1.56322E+11,1.66483E+11,1.89006E+11,2.24236E+11,2.4428E+11,2.42416E+11
Faroe Islands,FRO,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,113047175.6,98330197.78,117391173.1,89607067.38,54838730.41,49953309.04,46622757.94,48479465.98,39986224.52,55718614.22,55763850.9,75062413.21,76796329.99,84343095.8,114124949.5,135114898.3,156984836.4,203718873.5,203528219.2,397158244.6,451912609,497434120.4,
Gabon,GAB,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,193613824.3,13399793.74,144051938.5,201927545.2,449046100.9,675149856.2,1121592476,1237944498,1934656663,1993241390,1735883130,2157316879,2351562307,3003573133,2478480388,1863120981,789346604.5,965054219.2,1321051089,1371973833,,,
United Kingdom,GBR,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,50939389681,47417467709,54959281999,56349681040,62138194999,59135108205,63823577314,77715465907,64785716443,79453490100,98025460114,1.09734E+11,1.17157E+11,1.1875E+11,1.24487E+11,1.48109E+11,1.34932E+11,1.50858E+11,1.72658E+11,1.73569E+11,1.80054E+11,1.94181E+11,1.7641E+11
Georgia,GEO,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,115965903.6,161941585.5,202176074.1,196198029.7,386676416.9,478637800.6,930833393.9,1361156504,1480157559,2110323626,2263794873,2818191101,2872949024,2823383516,2699169280,2520721328,2756383663,3038762324,3289463517,3505823162,3913274195,4270945063,4886343006
Ghana,GHA,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,308900898.4,375936405.5,636059800,1470061310,1749729259,1897057040,2268926567,2218311348,2014205287,3691822335,5158151629,5913600037,5835098328,5587739126,5563709271,5742645886,5866729596,7015187160,6294851564,7563210341,7884091539,9916916900,
Gibraltar,GIB,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,167593505.2,208565056.9,263312234.5,281862972.1,111780254.7,96326734.16,39685709.65,46811611.56,55670498.07,414058705.5,301523167,947127106,762924793.4,853882934.8,983969561.3,654264223.6,840496671.4,980319295.4,1242328573,1379136557,1499116033,,
"Gambia, The",GMB,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,109431118.9,106013174.4,106877406.7,59306559.03,83774361.47,98312848.54,120615997.8,142784444.7,116517123,224175097.1,201627626.7,223241852.8,236241441.1,210553598.7,159330829.4,111040203.2,87635582.42,169969976.5,191773261,256957421.7,387046403.6,652670952.2,568244498.4
Guinea-Bissau,GNB,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,23008388.64,70851809.33,88540317.13,237691328.6,944982405.4,2102494662,3066739319,3845916300,4431191816,3251937926,2346355216,3053840572,4396979377,4566537481,2906843391,1205154516,62307444.14,45502925.11,48929813.61,40816834.6,60833004.02,44271185.59,
Greece,GRC,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,14594006579,6244166654,9431530975,5801377075,2707782609,2287009893,2849953559,3647605325,3489670238,5486122598,6352405963,6743416891,7255024355,5763071364,6236284819,6027606781,6851247713,7803722132,7578500699,8507452887,11931180005,14447242598,12061425398
Grenada,GRD,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,57660000,63941398.74,87842777.41,83225917.7,121728059.7,94252920.21,99961392.63,110569734.8,105341634.3,129078999.9,119154979.9,120710917.7,119485006.8,150571015.9,169949409.7,197973503.3,207689282.8,199125887.3,233815853.8,236325345.1,293320432.2,348259248.6,371767322.5
Greenland,GRL,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,1805677837,2352244046,2373309197,2924966748,3522289948,3777008774,4055245981,4314534130,4653932355,5204831200,5948553459,6174185213,6693770271,7269204344,7330866098,7745916506,9152627961,11765104231,12583121642,14784046765,18463562202,20934881435,20414938168
Guam,GUM,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,304956641,287255329.3,284472829.5,276387312.1,231844788.1,251872586.4,279636390.8,313007749.4,355913639.7,631410304.7,782063529.8,801777696.1,864028135.1,783621040.9,667925088.8,531887027.9,580981472.7,565363504.4,518509369.5,573446281.4,680634183.7,790784502.1,
High income,HIC,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",HKG,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,1.0756E+11,1.11174E+11,1.11919E+11,1.18388E+11,1.23569E+11,1.24278E+11,1.33211E+11,1.52693E+11,1.82527E+11,2.55841E+11,,2.85399E+11,3.17362E+11,3.1121E+11,3.28517E+11,3.58773E+11,3.86293E+11,4.31442E+11,4.2462E+11,4.4135E+11,4.91776E+11,4.96867E+11,4.2403E+11
