Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/1/2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Guatemala,GTM,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,86020000,119500000,122730000,124330000,118940000,93680000,114090000,75790000,108310000,112220000,118870000,109880000,91650000,59970000,56230000,47790000,48800000,52830000,57910000,54540000,44150000,
Guam,GUM,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,16130000,18120000,18660000,30560000,21440000,26710000,32150000,8250000,9790000,14240000,10800000,13870000,13980000,8340000,9370000,7480000,8580000,10720000,7970000,7970000,4090000,
High income,HIC,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",HKG,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,4210000,4520000,3550000,4020000,5270000,,,,,,,,,,,,,,,,,
Honduras,HND,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,120450000,219170000,119060000,93040000,103070000,99080000,83410000,55780000,83640000,77640000,54810000,64590000,68580000,51800000,43170000,39920000,42110000,38870000,50640000,34310000,40490000,
Heavily indebted poor countries (HIPC),HPC,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Croatia,HRV,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,30560000,43450000,61140000,72690000,77190000,53740000,64020000,40810000,77380000,44680000,39820000,,,,,,,,,,,
Haiti,HTI,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,90110000,92560000,75890000,85060000,84520000,123280000,189950000,60630000,136460000,155140000,187230000,166330000,127680000,96250000,83820000,72930000,68550000,70970000,71250000,46490000,48150000,
Hungary,HUN,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,38960000,35490000,39110000,52280000,48820000,,,,,,,,,,,,,,,,,
